,Unnamed: 0,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
70,3092,Conference Proceedings,2007.0,,,,,"Annual Review of Ecology, Evolution, and Systematics",http://philengtech.org/wp-content/uploads/2007/10/wpe2007abstracts.pdf
71,3093,Conference Proceedings,2007.0,,,,,,
72,3094,Conference Proceedings,2002.0,,,,,Proceedings of The ACM Sigmod International Conference On The Management of Data,BIOKDD 2002: 63-70 http://www.cs.rpi.edu//~zaki/Workshops/BIOKDD02/
73,3095,Conference Proceedings,2007.0,,,,,Proceedings of The 2007 Ocufa Conference,"OCUFA Conference 2007, 11 http://ocufa.on.ca/conferences/restructuring-the-academy-current-realities-and-preferred-directions/"
74,3096,Conference Proceedings,2009.0,,,,,Proceedings of The Sas Global Forum,"SAS Global Forum 2009, 240-2009 [http://support.sas.com/resources/papers/proceedings09/TOC.html]"
75,3097,Conference Proceedings,2006.0,,,,,Artificial Life,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.75.6968&rep=rep1&type=pdf
76,3098,Conference Proceedings,2008.0,,,,,Expert Review of Proteomics,
77,3099,Conference Proceedings,2009.0,,,,,Bc Journal of Ecosystems and Management,JEM. 2009;9(3):144
98,3120,Conference Proceedings,2017.0,,,"Elliott AM, A. Lehman; T. Nelson; C. van Karnebeek; J. Gillis; C. du Souich; S. Adam; J. Mwenifumbo; J. Friedman.",,,
99,3121,Conference Proceedings,2016.0,,,"Dragojlovic N, Kim E, Elliott AM, Friedman JM, Lynd LD.",,,
100,3122,Conference Proceedings,2016.0,,,"Dragojlovic N, Kim E, Elliott AM, Friedman JM, Lynd LD.",,,
104,3126,Conference Proceedings,2016.0,,,"Lehman A, du Souich, C, Adam S, Gillis J, van Karnebeek C, Friedman JM, Elliott AM",,,
136,3165,Other,2009.0,,,,,,
137,3166,Other,2009.0,,,,,,
139,3168,Other,2009.0,,,,,,
140,3169,Other,2009.0,,,,,,
141,3170,Other,2009.0,,,,,,
144,3173,Other,2010.0,,,,,,
147,3176,Other,2009.0,,,,,,
148,3177,Other,2009.0,,,,,,
149,3178,Other,2009.0,,,,,,
150,3179,Other,2010.0,,,,,,
151,3180,Other,2009.0,,,,,,
159,3188,Other,2010.0,,,,,,
